X,Y,OBJECTID,Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,NumberFieldCourts,FieldSurfaceType,FacilityAge,FacilityCondition,FacilityUpgradeAge,Changerooms,LGA
144.774144,-37.745439,1424,BRIMBA8347,Diamond Reserve,,Diamond,Avenue,ALBANVALE,3021,-37.745439,144.774144,26321,Cricket,1,Synthetic Pitch,,,,,BRIMBANK
144.822827,-37.764186,1434,BRIMBA8378,Loyd Reserve,,Lurg,Avenue,ST ALBANS,3021,-37.764186,144.822827,26377,Cricket,1,,,,,,BRIMBANK
144.774682,-37.773404,1437,BRIMBA8342,Deer Park Hall,50,Station,Road,DEER PARK,3023,-37.773404,144.774682,26310,Dancing,,,,,,,BRIMBANK
144.816638,-37.790274,1438,BRIMBA8354,Glengala Community Centre,,Glengala,Road,SUNSHINE,3020,-37.790274,144.816638,26330,Dancing,,,,,,,BRIMBANK
144.833525,-37.719093,1439,BRIMBA8382,Old Shire Hall,,Old Calder,Highway,KEILOR,3036,-37.719093,144.833525,26383,Dancing,,,,,,,BRIMBANK
144.815068,-37.745952,1440,BRIMBA8394,St Albans Community Youth Club,,Main,Road East,ST ALBANS,3021,-37.745952,144.815068,26401,Dancing,,,,,,,BRIMBANK
144.8272,-37.740183,1441,BRIMBA8405,Urban Force Studio,,Sunshine,Avenue,KEALBA,3021,-37.740183,144.8272,26418,Dancing,,,,,,,BRIMBANK
144.780034,-37.737296,1442,BRIMBA8408,Westvale Community Centre,,Kings,Road,ST ALBANS,3021,-37.737296,144.780034,26425,Dancing,,,,,,,BRIMBANK
144.806626,-37.72728,1443,BRIMBA5539,Anytime Fitness Keilor Downs,80,Taylors,Road,KEILOR DOWNS,3038,-37.72728,144.806626,27883,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.80018,-37.747165,1444,BRIMBA8334,Brimbank Sports Centre,,McKechnie,Street,ST ALBANS,3021,-37.747165,144.80018,26300,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.774151,-37.700147,1446,BRIMBA8349,Fenix Fitness Taylors Lakes,399,Melton,Highway,TAYLORS LAKES,3038,-37.700147,144.774151,26325,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.767025,-37.695334,1447,BRIMBA8350,Fernwood Gym,511/521,Melton,Highway,SYDENHAM,3037,-37.695334,144.767025,26326,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.774459,-37.700632,1450,BRIMBA5538,Goodlife Health Clubs Taylors Lakes,399,Melton,Highway,TAYLORS LAKES,3038,-37.700632,144.774459,27882,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.796567,-37.744148,1451,BRIMBA8357,Health Club 101,101,Main,Road West,ST ALBANS,3021,-37.744148,144.796567,26337,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.789464,-37.707826,1452,BRIMBA8362,Kaye's Unique Toning,,Sceptre,Court,TAYLORS LAKES,3038,-37.707826,144.789464,26347,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.767008,-37.695258,1453,BRIMBA8374,Kieser Training,15/17,Overton Lea,Boulevard,SYDENHAM,3037,-37.695258,144.767008,26369,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.79779,-37.701702,1454,BRIMBA5541,Kore Wellness & Swim School,7,Melton,Highway,TAYLORS LAKES,3038,-37.701702,144.79779,27885,Fitness / Gymnasium Workouts,,,,,,"Female, Male",BRIMBANK
144.827799,-37.780525,1455,BRIMBA8386,Platinum Health & Pilates,151,Anderson,Street,SUNSHINE,3020,-37.780525,144.827799,26387,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.789894,-37.79186,1456,BRIMBA5533,Run With Me Fitness Club Sunshine West,42746,David,Drive,SUNSHINE WEST,3020,-37.79186,144.789894,27876,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.833454,-37.787273,1457,BRIMBA8390,Samurai Karate Sunshine,54A,Station,Place,SUNSHINE,3020,-37.787273,144.833454,27877,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.798147,-37.752777,1458,BRIMBA8393,St Albans Campus Fitness Centre,,McKechnie,Street,ST ALBANS,3021,-37.752777,144.798147,26399,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.804954,-37.728203,1459,BRIMBA8396,St Albans Leisure Centre,90,Taylors,Road,ST ALBANS,3021,-37.728203,144.804954,26406,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.835023,-37.784577,1460,BRIMBA8401,Sunshine Swim & Leisure Centre,5,Kennedy,Street,SUNSHINE,3020,-37.784577,144.835023,26412,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.80096,-37.703161,1461,BRIMBA8404,The Lakes Health & Fitness Centre,555,Sunshine,Avenue,SUNSHINE,3020,-37.703161,144.80096,26416,Fitness / Gymnasium Workouts,,,,,,"Female, Male",BRIMBANK
144.828995,-37.779588,1463,BRIMBA8330,World Gym Sunshine,131,Harvester,Road,SUNSHINE,3020,-37.779588,144.828995,26296,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.817151,-37.805148,1464,BRIMBA5534,Xplode 24 Hr Gym,656,Somerville,Road,SUNSHINE WEST,3020,-37.805148,144.817151,27878,Fitness / Gymnasium Workouts,,,,,,,BRIMBANK
144.793983,-37.684865,1465,BRIMBA8370,Keilor Public Golf Course and Driving Range,540,Calder,Highway,KEILOR,3036,-37.684865,144.793983,26361,Golf,18,18 Hole Course - Public,,,,,BRIMBANK
